"COMPOUND","FdeltaTAG_R_spearman","FdeltaTAG_p","FdeltaTAG_adj","sig_FdeltaTAG","Fdeltamass_R_spearman","Fdeltamass_p","Fdeltamass_adj","sig_Fdeltamass","MdeltaTAG_R_spearman","MdeltaTAG_p","MdeltaTAG_adj","sig_MdeltaTAG","Mdeltamass_R_spearman","Mdeltamass_p","Mdeltamass_adj","sig_Mdeltamass"
"Dimethylarginine (A/SDMA)",0.2935960591133,0.122148898707592,0.355098513614841,"NS",0.113120439308311,0.590315632963187,0.73294222884691,"NS",0.113300492610837,0.556942448365394,0.735959663911414,"NS",0.0761831530035567,0.717396129612696,0.890726738109723,"NS"
"Dimethylglycine",0.221182266009852,0.247783597038426,0.472576963423803,"NS",0.333205103540809,0.103603039741902,0.324856989021217,"NS",0.256650246305419,0.178397416700257,0.39763279625961,"NS",0.115429019702359,0.582703836511824,0.812288398187841,"NS"
"Ergocalciferol",-0.189655172413793,0.322967605779457,0.553231546937033,"NS",-0.565602196541557,0.00321261674471175,0.0897204429192552,"NS",0.553694581280788,0.00215665888148291,0.0443313214527043,"SIG",0.32397078196462,0.114135291290452,0.489834817144635,"NS"
"Erythrose-4-Phosphate",-0.0975369458128079,0.613434646354835,0.828360653836821,"NS",0.365140465658461,0.0726874309044138,0.279559071055485,"NS",-0.180295566502463,0.347771119019241,0.55890379274596,"NS",0.25740671393626,0.214161234033768,0.556551812934764,"NS"
"Ethanolamine",-0.105418719211823,0.584884543530742,0.800425269268565,"NS",-0.190073119109884,0.362798439531141,0.604664065885235,"NS",-0.480295566502463,0.0090437039842957,0.0727428363954219,"NS",-0.293574473442999,0.15435028290708,0.513921831151361,"NS"
"FAD",0.0783251231527093,0.685353870493007,0.850942725108767,"NS",-0.122739524283508,0.558886818053076,0.721004305623407,"NS",0.595073891625616,0.000833287219239236,0.0308316271118517,"SIG",0.204694128272183,0.326337591116173,0.635499519542022,"NS"
"Fructose",-0.0896551724137931,0.642558305587377,0.850942725108767,"NS",-0.153520596204137,0.46376276768177,0.643319652872703,"NS",-0.0605911330049261,0.754279821055805,0.887731215155639,"NS",0.142747221031917,0.496064920691424,0.746113905104988,"NS"
"G1P/F1P/F6P",-0.111330049261084,0.563869181956025,0.79630380657912,"NS",0.370527153244571,0.0682563455956704,0.279559071055485,"NS",-0.21576354679803,0.259788643826998,0.495473186680356,"NS",0.249711445956103,0.228658581671621,0.556551812934764,"NS"
"G6P",-0.140886699507389,0.464369855548072,0.705573700428293,"NS",0.337822264328903,0.0986155297948258,0.320067947579698,"NS",-0.204433497536946,0.286118055397008,0.513901361635403,"NS",0.282031571472763,0.171976529288409,0.525277255595136,"NS"
"gamma-Aminobutyrate",0.133004926108374,0.489950140223144,0.725126207530253,"NS",-0.0515582954670535,0.8066453560628,0.883014147169337,"NS",-0.294088669950739,0.121501490952408,0.330555526855816,"NS",-0.246248575365032,0.235390067993769,0.556551812934764,"NS"
"Glucoronate",0.0246305418719212,0.899409561616178,0.967922845121244,"NS",0.166987315169412,0.424977024580764,0.628389546475069,"NS",0.138916256157635,0.470697282318686,0.664147217606907,"NS",0.321277438171565,0.117350248237469,0.489834817144635,"NS"
"Glucosamine",0.22807881773399,0.23305034327155,0.459112743220796,"NS",0.416698761125515,0.0382511223982909,0.214438110414661,"NS",-0.353694581280788,0.0604682712209427,0.228298575017845,"NS",-0.0854174745797454,0.684767992280243,0.879736656748923,"NS"
"Glucose",0.00197044334975369,0.992869466552958,0.996944025245762,"NS",0.166217788371396,0.427144463871839,0.628389546475069,"NS",-0.41231527093596,0.0271140160324148,0.132002446473599,"NS",-0.0277029647285661,0.895420743199487,0.960091818286567,"NS"
"Glutamic acid",-0.107881773399015,0.576085774444879,0.800425269268565,"NS",-0.242016177975945,0.243793415204123,0.484965395836159,"NS",-0.307389162561576,0.10497543732455,0.313233159758737,"NS",-0.207772235464246,0.318955621680553,0.635499519542022,"NS"
"Glutamine",0.215270935960591,0.26089880715439,0.477242957063588,"NS",0.108118515121209,0.60695244325817,0.743617231806367,"NS",0.299014778325123,0.115167915221899,0.322819156303809,"NS",0.245094285168008,0.237662666064034,0.556551812934764,"NS"
"Glutaric Acid",-0.438423645320197,0.0181987770826051,0.168338688014098,"NS",-0.434782640878884,0.0298580126841524,0.204582679502526,"NS",0.240886699507389,0.207293302048511,0.43287041943111,"NS",0.327818415954699,0.10965534273142,0.489834817144635,"NS"
"Glyceraldehyde",0.251724137931034,0.187100350754677,0.402483312669944,"NS",0.417468287923531,0.0378595355311433,0.214438110414661,"NS",-0.386699507389162,0.0390832884570775,0.168149031733938,"NS",-0.104270881131131,0.619881189382184,0.837065839676671,"NS"
"Glycerol-3-P",-0.546305418719212,0.0025256758385379,0.12154204207092,"NS",-0.163524444578341,0.434777632155723,0.628389546475069,"NS",-0.689655172413793,5.47283147869906e-05,0.00506236911779664,"SIG",-0.095036559554942,0.651355147140178,0.862469618636574,"NS"
"Glycerophosphocholine",-0.0566502463054187,0.76987724444829,0.889614461109753,"NS",-0.18545595832179,0.374787536374356,0.615564457143807,"NS",-0.460591133004926,0.0126894921234311,0.0829744219653177,"NS",-0.449018886642175,0.0243484500399291,0.250247958743716,"NS"
"Glycine",-0.0507389162561576,0.793439924773564,0.889614461109753,"NS",-0.449788413440191,0.0240758362504986,0.184268589502141,"NS",-0.133497536945813,0.488330384618564,0.674187471301749,"NS",-0.585225129890958,0.00211873464889117,0.194085171424349,"NS"
"GMP",0.445320197044335,0.0163040638367435,0.158750095252502,"NS",0.258561004133283,0.212041269991128,0.466036540642391,"NS",0.45615763546798,0.0136614910091437,0.0842458612230529,"NS",0.270103906103519,0.191618088103263,0.556551812934764,"NS"
"Guanine",-0.0630541871921182,0.744579583264271,0.88299501861468,"NS",-0.0765679164025646,0.716026507819194,0.838385468016145,"NS",0.0679802955665025,0.725296565529173,0.882762267255902,"NS",0.0242400941374953,0.908435609743979,0.960091818286567,"NS"
