"COMPOUND","FTAG_R_spearman","FTAG_p","FTAG_adj","sig_FTAG","Fmass_R_spearman","Fmass_p","Fmass_adj","sig_Fmass","FrTAG_R_spearman","FrTAG_p","FrTAG_adj","sig_FrTAG","MTAG_R_spearman","MTAG_p","MTAG_adj","sig_MTAG","Mmass_R_spearman","Mmass_p","Mmass_adj","sig_Mmass","MrTAG_R_spearman","MrTAG_p","MrTAG_adj","sig_MrTAG"
"Allantoin",0.114778325123153,0.551773627205334,0.713833014216691,"NS",-0.195588992429452,0.338287240037792,0.575620119160607,"NS",0.27042735042735,0.180939285706316,0.941650479255857,"NS",0.0995073891625616,0.606241961568285,0.988372320768644,"NS",-0.171682636579171,0.401687025226822,0.834967411988338,"NS",0.331965811965812,0.0979381988017913,0.711920682295963,"NS"
"Alpha-Ketoglutaric Acid",0.449753694581281,0.0151754880988226,0.103980196232673,"NS",0.344332369539263,0.084972901179339,0.271034253761685,"NS",0.0673504273504273,0.743181215658525,0.99733462496961,"NS",-0.268965517241379,0.157910143546939,0.988372320768644,"NS",-0.155950761514148,0.446800366096455,0.842044129075084,"NS",-0.271794871794872,0.178677446518558,0.733019663480596,"NS"
"Aminolevulinate",0.139901477832512,0.467527881940458,0.655247410295338,"NS",0.344674308337217,0.0846433463986763,0.271034253761685,"NS",-0.232820512820513,0.251234548998239,0.941650479255857,"NS",0.0330049261083744,0.865140098539501,0.988372320768644,"NS",0.0194938451892685,0.924696400492599,0.969244952741931,"NS",0.0632478632478632,0.758421968450439,0.954295132115925,"NS"
"AMP",0.370935960591133,0.0483684442694321,0.198848048663221,"NS",0.495469318234749,0.0100589350697555,0.0964065305756309,"NS",-0.0488888888888889,0.812438240184526,0.99733462496961,"NS",0.209852216748768,0.273317954408438,0.988372320768644,"NS",0.496580056400312,0.00986664066897384,0.208814245892485,"NS",-0.243760683760684,0.229147342886193,0.743723832174485,"NS"
"Anthranilic Acid",-0.0807881773399015,0.675961993123062,0.812032264466017,"NS",-0.159685418644326,0.435853755435957,0.660925776685673,"NS",0.257435897435897,0.20344105458985,0.941650479255857,"NS",0.0246305418719212,0.899409561616178,0.988372320768644,"NS",-0.0372777039584256,0.856529381621456,0.951737327620672,"NS",0.138461538461538,0.498299704307896,0.929796385967518,"NS"
"Arabitol/Xylitol",0.430049261083744,0.0207430667487052,0.116347717542366,"NS",0.294751243835993,0.143815621234078,0.35474519904406,"NS",-0.0256410256410256,0.901620047788956,0.99733462496961,"NS",0.0748768472906404,0.698580938441201,0.988372320768644,"NS",-0.0796853671771851,0.698792926968467,0.892058589618196,"NS",0.0304273504273504,0.883125045900916,0.97833756871677,"NS"
"Arginine",-0.15320197044335,0.425870217827837,0.61769047789796,"NS",-0.215079503912807,0.291347644909473,0.544437518265176,"NS",0.123418803418803,0.5465241360305,0.943794608524953,"NS",0.0817733990147783,0.67221864283882,0.988372320768644,"NS",0.451778412193397,0.0205081697738137,0.210778411564197,"NS",-0.154188034188034,0.450299146807264,0.917973403761328,"NS"
"Argininosuccinate",0.298029556650246,0.116414323050859,0.303333095273365,"NS",0.480765949922744,0.0129126793607246,0.0995352367389184,"NS",-0.244444444444444,0.227812079398564,0.941650479255857,"NS",-0.0295566502463054,0.879225235134494,0.988372320768644,"NS",0.374145028720345,0.0597013365665632,0.39445525945765,"NS",-0.321709401709402,0.109252166918753,0.711920682295963,"NS"
"Asparagine",0.183251231527094,0.339816143189293,0.566360238648822,"NS",0.0745426579538822,0.71742292196316,0.846837339032354,"NS",-0.164444444444444,0.4203953036114,0.943794608524953,"NS",-0.333004926108374,0.0780221122334978,0.988372320768644,"NS",-0.130984959780523,0.523601147098705,0.842044129075084,"NS",-0.312136752136752,0.120673238580351,0.711920682295963,"NS"
"Aspartic Acid",-0.71871921182266,1.94231873400233e-05,0.00359328965790432,"SIG",-0.67567106475629,0.000151895934983695,0.0070251869929959,"SIG",-0.119316239316239,0.560047855247102,0.943794608524953,"NS",0.0866995073891625,0.653620095563888,0.988372320768644,"NS",-0.0550615627275828,0.789350291869095,0.919915475134378,"NS",0.305982905982906,0.128470538036918,0.711920682295963,"NS"
"Azelaic Acid",-0.560098522167488,0.00187558591698446,0.08160898224072,"NS",-0.338861348772006,0.0903787861054537,0.277259103905033,"NS",-0.0488888888888889,0.812438240184526,0.99733462496961,"NS",0.285221674876847,0.133553240642765,0.988372320768644,"NS",0.242476074371778,0.232675247902807,0.706963185614277,"NS",0.163076923076923,0.424316941345838,0.912774815685815,"NS"
"betaAlanine",0.26256157635468,0.168339361586039,0.356261068151749,"NS",0.181227562915402,0.3756152068578,0.593921480929,"NS",0.341538461538462,0.0882030026468909,0.941650479255857,"NS",0.17192118226601,0.370919555378654,0.988372320768644,"NS",-0.075581399768918,0.713646871694556,0.892058589618196,"NS",0.251965811965812,0.213472168699896,0.743723832174485,"NS"
"Betaine",-0.494581280788177,0.00699466654091901,0.08160898224072,"NS",-0.401436148797512,0.0420859260483728,0.171580673099769,"NS",0.00239316239316239,0.992003988427753,0.99733462496961,"NS",0.0556650246305419,0.77379085701008,0.988372320768644,"NS",0.296853642531316,0.140845280105804,0.579323038904575,"NS",-0.0434188034188034,0.833256795926601,0.97833756871677,"NS"
