"","rowname","colname","p_means","R_means"
"280","3HBA","Cadaverine",1.49360945556419e-88,0.625457565597219
"281","Alanine","Palmitic Acid",3.82077261596308e-88,0.685933126211203
"282","Retinol","UDP-GlcNAc",4.66058670972295e-88,-0.617767387492694
"283","Betaine","Oxalacetate",5.1476844479321e-88,0.791811498354302
"284","Betaine","SAH",5.65016656489532e-88,-0.722353809714233
"285","Adenylosuccinate","Myristic Acid",6.02796764086264e-88,0.68322618351841
"286","Pyridoxamine","S-Adenosylmethionine (SAM)",6.48379710102126e-88,-0.703528253714356
"287","Biopterin","Pyridoxamine",6.70744146635801e-88,0.730043987818758
"288","3HBA","Glucosamine",7.57433930917125e-88,-0.572241533113907
"289","Maleic Acid","PEP",8.23631861158779e-88,-0.725552923805715
"290","Betaine","Glutaric Acid",8.58192793831874e-88,0.786459134393552
"291","1-Methylnicotinamide","Citraconic Acid",8.59927265249375e-88,0.709988003322157
"292","1-Methyladenosine","Cadaverine",8.84589638402834e-88,0.747454551047402
"293","S-Adenosylmethionine (SAM)","Urate",1.07296966979395e-87,-0.772001599557046
"294","Linoleic Acid","Taurine",1.21639513768418e-87,0.643237257374881
"295","3-(4-Hydroxyphenyl)Propionate","Glyceraldehyde",1.40012736131523e-87,-0.579254975545233
"296","3-Hydroxyisovaleric Acid","Succinylcarnitine",1.55303780975359e-87,-0.667169091636162
"297","D-Leucic Acid","Pyruvate",1.97978990462428e-87,-0.706296717831985
"298","3-(4-Hydroxyphenyl)Propionate","Glucosamine",4.65149787375058e-87,-0.559937248146667
"299","Glucosamine","Retinol",4.65149787375058e-87,-0.642375957427174
"300","3-(4-Hydroxyphenyl)Propionate","Biopterin",4.81812474533176e-87,0.643237257374881
"301","1-Methyladenosine","Urate",7.36238871469013e-87,0.756313636223815
"302","Citraconic Acid","Succinylcarnitine",8.60715012388597e-87,-0.619674551662616
"303","3-Hydroxyisovaleric Acid","Hydrocinnamic Acid",8.98237231791292e-87,0.703835860838537
"304","Arginine","Betaine",1.89438507880813e-86,0.727706173674982
"305","3-(4-Hydroxyphenyl)Propionate","Ergocalciferol",3.06736387662102e-86,0.593097296133378
"306","1-Methyladenosine","Oxalacetate",3.51524377694993e-86,0.722969023962595
"307","Alpha-Ketoglutaric Acid","Succinylcarnitine",3.61544705362762e-86,0.609461995139807
"308","3-Hydroxyisovaleric Acid","Glucosamine",6.65933438338578e-86,-0.598634224368636
"309","3-(4-Hydroxyphenyl)Propionate","L-Kynurenine",8.55583022885737e-86,-0.588606232120336
"310","Ergocalciferol","Phenylacetic Acid",9.5839946651276e-86,0.52443938601618
"311","1-Methyladenosine","Taurine",1.16885751514721e-85,0.637884893414131
"312","Pyruvate","Retinol",1.24727778581431e-85,-0.636592943492571
"313","3-(4-Hydroxyphenyl)Propionate","Indole-2-Carboxylic Acid",1.33748667871608e-85,0.645205942969639
"314","Cholecalciferol","Maleic Acid",1.48488470380997e-85,0.719708388446276
"315","1-Methylnicotinamide","3HBA",2.13041446065011e-85,0.622812144329262
"316","D-Leucic Acid","Maleic Acid",2.45878415399404e-85,0.658740656433603
"317","Choline","Pyridoxamine",3.37949362293644e-85,0.686855947583746
"318","Choline","G6P",3.43797093146671e-85,-0.800116890707188
"319","L-Kynurenine","Palmitic Acid",3.99012026369778e-85,-0.582823218185733
"320","3-Hydroxyisovaleric Acid","Pyridoxamine",4.16756813422772e-85,0.688947676028177
"321","Glucosamine","Maleic Acid",4.78053746615784e-85,-0.70039066104771
"322","Adenine","Adenosine",6.46155354422792e-85,0.817219846811652
"323","1/3-Methylhistidine","Hydrocinnamic Acid",7.37845547558655e-85,-0.671906241348549
"324","Choline","Succinylcarnitine",1.39528519029229e-84,-0.710541696145683
"325","3-(4-Hydroxyphenyl)Propionate","Sedoheptulose 7-Phosphate",2.86037951992496e-84,-0.585099510904672
"326","PEP","Pyruvate",3.42512964347385e-84,0.778584392014519
"327","1/3-Methylhistidine","Citraconic Acid",3.68788030176024e-84,-0.630379279584115
"328","1-Methylnicotinamide","L-Kynurenine",5.11196065939616e-84,-0.60472484542742
"329","1-Methyladenosine","Alanine",5.37340502814315e-84,0.576117382878587
"330","Alanine","Biopterin",6.49551159755922e-84,0.687163554707927
"331","Alpha-Ketoglutaric Acid","Glutaric Acid",7.7782203489577e-84,-0.658679135008767
"332","Palmitic Acid","Pyridoxamine",8.22250115964866e-84,0.714909717309053
"333","Indole-3-Carboxylic Acid","L-Kynurenine",9.90098793733906e-84,-0.559998769571503
"334","Palmitic Acid","PEP",9.90098793733906e-84,-0.745362822602971
"335","3-Hydroxyisovaleric Acid","UDP-GlcNAc",1.05622291838211e-83,-0.721800116890707
"336","PEP","S-Adenosylmethionine (SAM)",1.10569403746773e-83,0.678735119505368
