"","rowname","colname","p_M","R_M"
"304","Cystathionine","Retinol",6.8974805014909e-71,-0.650246305418719
"305","Cystathionine","S-Adenosylmethionine (SAM)",7.69913798884152e-71,0.661083743842364
"306","2-Hydroxyglutarate","3-Hydroxyisovaleric Acid",8.27755475542091e-71,-0.611330049261084
"307","Retinol","SAH",1.22581413490666e-70,-0.61871921182266
"308","Glycerophosphocholine","Methionine",2.76021859514927e-70,0.595073891625616
"309","Maleic Acid","Palmitic Acid",2.83910635244943e-70,0.757635467980295
"310","PEP","Pyridoxamine",3.90250323608404e-70,-0.647783251231527
"311","Glutaric Acid","SAH",4.54770809387026e-70,-0.661083743842364
"312","Hydrocinnamic Acid","N-AcetylGlycine",4.5575491666355e-70,0.595073891625616
"313","Azelaic Acid","Betaine",4.82454602546803e-70,0.690147783251231
"314","Cystathionine","Tryptophan",5.02059328365293e-70,0.605911330049261
"315","Choline","Maleic Acid",6.49883498234805e-70,0.731034482758621
"316","2-isoPropylmalic Acid","cAMP",7.47698104874251e-70,-0.726600985221675
"317","Homocitrulline","Palmitic Acid",7.74331852592078e-70,-0.673891625615763
"318","S-Adenosylmethionine (SAM)","Suberic Acid",1.04979902871553e-69,-0.731527093596059
"319","Glycerophosphocholine","Palmitic Acid",1.29380160925372e-69,-0.559113300492611
"320","Phenylacetic Acid","Urate",1.34332775047741e-69,0.689655172413793
"321","Homocitrulline","Indole-3-Carboxylic Acid",1.4011394331806e-69,-0.611822660098522
"322","Adipic Acid / 3-Methylglutaric Acid","Trigonelline",1.64236633871094e-69,0.738916256157635
"323","Pyridoxamine","UDP-GlcNAc",1.82845639438586e-69,-0.638916256157635
"324","1-Methyladenosine","Indole-3-Carboxylic Acid",1.91807397513256e-69,0.629064039408867
"325","2-Hydroxyglutarate","Glucosamine",2.54010961669853e-69,0.603940886699507
"326","Adipic Acid / 3-Methylglutaric Acid","D-Leucic Acid",2.8688792497005e-69,0.717241379310345
"327","3HBA","Maleic Acid",3.43621883340517e-69,0.718226600985222
"328","Trigonelline","Uracil",3.93519267207598e-69,-0.741379310344827
"329","Methionine","Pyridoxamine",4.30406993351497e-69,-0.574384236453202
"330","Glutaric Acid","Tryptophan",5.16480560661106e-69,-0.633990147783251
"331","Pyruvate","UDP-GlcNAc",5.66831343617068e-69,0.703940886699507
"332","Glycerophosphocholine","PEP",5.83977531338466e-69,0.645812807881773
"333","Glycerophosphocholine","Maleic Acid",6.24670898531664e-69,-0.605911330049261
"334","2-Hydroxyglutarate","Retinol",6.81277017920931e-69,-0.564039408866995
"335","Azelaic Acid","Cholecalciferol",7.00501352888441e-69,0.686206896551724
"336","Choline","Pyridoxamine",7.00501352888441e-69,0.634482758620689
