"","rowname","colname","p_M_all","R_M_all"
"244","2-Hydroxyphenylacetate","Adipic Acid / 3-Methylglutaric Acid",9.9377926652293e-81,0.712824260138838
"245","Biopterin","Pyridoxamine",1.04714186131962e-80,0.682389477530143
"246","2-isoPropylmalic Acid","G6P",1.49281198799214e-80,-0.694483010595543
"247","1-Methylnicotinamide","1/3-Methylhistidine",1.56894001896818e-80,-0.709061015710632
"248","Choline","UDP-GlcNAc",1.74569695832738e-80,-0.698027036901717
"249","Hydrocinnamic Acid","Pyridoxamine",2.00543064843128e-80,0.53858238947753
"250","3-Hydroxyisovaleric Acid","Ergocalciferol",2.39363553083036e-80,0.510230179028133
"251","Cystathionine","Tryptophan",2.71388425298008e-80,0.611947387650713
"252","Leucine /D-Norleucine","Valine",3.41588752709478e-80,0.865619291194739
"253","Taurine","Uridine",3.89856331615089e-80,-0.643624406284253
"254","Cadaverine","Succinylcarnitine",4.14392936273494e-80,-0.557362075264889
"255","Methionine","Pyridoxamine",5.30042636969227e-80,-0.547826086956522
"256","2-Hydroxyphenylacetate","Phenylacetic Acid",5.99672955804788e-80,0.610522469857508
"257","Homocitrulline","Ribulose 5-Phosphate",6.30987882091288e-80,0.668688344903179
"258","Phenylacetic Acid","SAH",7.30195986660222e-80,-0.595761782974059
"259","Citraconic Acid","UDP-GlcNAc",1.20488180795553e-79,-0.678955060284984
"260","N-AcetylGlycine","Retinol",1.46097779231452e-79,0.613883814395323
"261","1/3-Methylhistidine","SAH",1.46441628457979e-79,0.597186700767264
"262","1/3-Methylhistidine","Oxalacetate",2.73582024087312e-79,-0.679393496529046
"263","Arginine","Glyceraldehyde",3.06183112173864e-79,-0.643222506393862
"264","Pyridoxamine","S-Adenosylmethionine (SAM)",3.44186371782168e-79,-0.599123127511874
"265","Citraconic Acid","Phenylacetic Acid",4.1102268352709e-79,0.640518816222141
"266","3HBA","Choline",4.12494627205174e-79,0.578407014979905
