"","rowname","colname","p_F_all","R_F_all"
"307","Alpha-Ketoglutaric Acid","NAD",2.2167289116854e-53,0.530934465238922
"308","Cholecalciferol","Spermidine",2.70605246102047e-53,-0.495851823268377
"309","Argininosuccinate","Cholecalciferol",3.39324546862618e-53,-0.506624220207087
"310","3-(4-Hydroxyphenyl)Propionate","3-Hydroxyisovaleric Acid",3.67875179396573e-53,0.373657469933758
"311","2'-Deoxycytidine","Suberic Acid",3.90292908717768e-53,-0.484822175059489
"312","ADP","Histamine",4.35556271782763e-53,-0.477779921538363
"313","Betaine","D-Leucic Acid",4.35631665087419e-53,0.54720560807769
"314","1-Methyladenosine","1-Methylnicotinamide",4.40283878838544e-53,0.650491993054216
"315","D-Leucic Acid","N-Ac-Alanine",4.68016903093164e-53,-0.576146375972731
"316","Alpha-Ketoglutaric Acid","Suberic Acid",6.5193877041732e-53,-0.482957103350698
"317","Alpha-Ketoglutaric Acid","IMP",6.71989105996676e-53,0.607981220657277
"318","Alanine","Ribulose 5-Phosphate",7.10375742816102e-53,-0.466911055373336
"319","Carnosine","IMP",7.12271595467694e-53,0.544697408193453
"320","3-Hydroxyisovaleric Acid","Hydrocinnamic Acid",7.7354630888969e-53,0.435558556820374
"321","SAH","Spermidine",8.13071897378289e-53,0.473728214033057
"322","3HBA","Citraconic Acid",9.61048935765232e-53,0.598977426201042
"323","n-Glycylproline","Succinylcarnitine",1.00040602307666e-52,0.530098398610843
"324","Glyceraldehyde","Hydrocinnamic Acid",1.10544683448098e-52,-0.453341050871439
"325","ADP","GMP",1.16080627755111e-52,0.635346324522477
"326","3-Hydroxyisovaleric Acid","Maleic Acid",1.27586808870902e-52,0.570004501897228
"327","GMP","Pyruvate",1.33803458828982e-52,0.588526593350055
"328","2-Aminoisobutyric Acid","DHAP/D-GA3P",1.39110222910794e-52,-0.526818444916072
"329","Glucosamine","Hydrocinnamic Acid",1.39569191462915e-52,-0.42372499839218
"330","Agmatine","Uracil",2.04451902614823e-52,0.500482346131584
"331","2-Hydroxyphenylacetate","Argininosuccinate",2.14146175504742e-52,-0.477715608720818
"332","2-Hydroxyphenylacetate","Reduced Glutathione",2.19343870015316e-52,-0.548427551611036
