"COMPOUND","TAG_R_spearman","TAG_p","TAG_adj","sig_TAG","mass_R_spearman","mass_p","mass_adj","sig_mass","rTAG_R_spearman","rTAG_p","rTAG_adj","sig_rTAG"
"Linoleic Acid",-0.32994988511288,7.29075250275192e-05,0.000345843387951053,"SIG",-0.479639686723257,1.31365325615384e-07,1.0566341408194e-06,"SIG",0.194791956259846,0.0425283089225925,0.251099576317623,"NS"
"Linolenic Acid",-0.370334539175932,7.21115083665412e-06,5.80027349904788e-05,"SIG",-0.448811929209444,9.84610924788383e-07,6.07176736952836e-06,"SIG",0.0401538318969512,0.678021513111131,0.80406397388179,"NS"
"Lysine",0.234887872586148,0.00538038974739244,0.0113110466280409,"NS",0.224079291388921,0.0191625214044024,0.0334440232057967,"NS",0.069150217774071,0.474342754946034,0.654876191529973,"NS"
"Maleic Acid",-0.339126082857663,4.43005926132108e-05,0.000236887328888547,"SIG",-0.379686950013433,4.66276498602963e-05,0.000169139514199114,"SIG",0.125474932814382,0.193286464078809,0.41418669616514,"NS"
"Margaric Acid",-0.261245701852085,0.00189407367217049,0.00486671707432696,"SIG",-0.172807814327394,0.0723497844861776,0.102959308691868,"NS",-0.145621351125938,0.130690236640598,0.340723949901851,"NS"
"Methionine",0.246452518197786,0.00344849959372034,0.00787620277578103,"SIG",0.323744741015347,0.000594754575339424,0.00157185137768276,"SIG",-0.0886108794365675,0.358975589199927,0.559169088959191,"NS"
"Myristic Acid",-0.263517967035052,0.00172224546521216,0.0045239195112583,"SIG",-0.385678275801101,3.44909882271544e-05,0.000127616656440471,"SIG",0.172801408581225,0.0724159318057851,0.257633603539812,"NS"
"N-Ac-Alanine",-0.088966890187368,0.297643926248936,0.37205490781117,"NS",-0.171070190839091,0.0753103234804461,0.106354273617424,"NS",0.173978315262719,0.0704706705476189,0.256619557031334,"NS"
"N-Ac-Arginine",-0.194829423750935,0.0215428615938135,0.0386934892704417,"NS",-0.266393898576076,0.00511100235565109,0.0108682233999477,"NS",0.137420072282458,0.153976066175587,0.355211351197507,"NS"
"N-Ac-L-Glutamine",0.0770179480059459,0.367499014286496,0.444361553222234,"NS",0.116309565813051,0.228434837330297,0.293475311847951,"NS",-0.176554536187564,0.0663604076475723,0.255764071141685,"NS"
"N-Ac-Phenylalanine",-0.168737474088511,0.0470685435787919,0.0784475726313198,"NS",-0.0848655311687192,0.380273981025451,0.459808408429467,"NS",-0.0547863960707997,0.570971264475953,0.735970868236332,"NS"
"N-Acetyl-Aspartate (NAA)",-0.175442555518288,0.0388464240525258,0.0659320041258466,"NS",-0.191379534170376,0.0462075739308086,0.0689387191709645,"NS",0.0504957835233065,0.601532331524581,0.751915414405727,"NS"
