"KEGG.id","Entry.type","KEGG.name","p.score"
"R04881","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.00109088427947598
"R04884","reaction","5,6-dihydroxyindole:oxygen oxidoreductase",0.00419060225618631
"R04886","reaction","Indole-5,6-quinone + Oxygen <=> Eumelanin + H...",0.00399062045123728
"R04887","reaction","S-adenosyl-L-methionine:catechol O-methyltran...",0.00109088427947598
"R04890","reaction","3-methoxytyramine:oxygen oxidoreductase (deam...",0.000490938864628777
"R04893","reaction","L-normetanephrine:oxygen oxidoreductase (deam...",0.000390947962154261
"R04894","reaction","L-metanephrine:oxygen oxidoreductase (deamina...",0.000190966157205229
"R04904","reaction","5-hydroxyindoleacetaldehyde:oxygen oxidoreduc...",0.00109088427947598
"R04905","reaction","S-adenosyl-L-methionine:N-acetylserotonin O-m...",0.00109088427947598
"R04906","reaction","5-Hydroxyindoleacetate <=> 5-Hydroxyindoleace...",0.00389062954876276
"R04907","reaction","3-hydroxykynurenamine:oxygen oxidoreductase(d...",0.00249075691411932
"R04908","reaction","5-hydroxykynurenamine:oxygen oxidoreductase(d...",0.00309070232896652
"R04931","reaction","S-adenosyl-L-methionine:thiol S-methyltransfe...",0.00219078420669577
"R04972","reaction","uroporphyrinogen I carboxy-lyase",0.012289865356623
"R04977","reaction","Myoglobin <=> Globin + Heme",0.0113899472343522
"R04994","reaction","S-adenosyl-L-methionine:2-phytyl-1,4-naphthoq...",0.00139085698689953
"R05123","reaction","S-adenosyl-L-methionine:(RS)-norcoclaurine 6-...",0.00109088427947598
"R05144","reaction","peptidyl-glutamate 4-carboxylase (2-methyl-3-...",0.00109088427947598
"R05149","reaction","S-adenosyl-L-methionine:1-precorrin-6Y C5,15-...",0.00069092066957792
"R05150","reaction","precorrin-6Y:NADP+ oxidoreductase",0.00329068413391556
"R05177","reaction","precorrin 8X 11,12-methylmutase",0.0138897197962155
"R05180","reaction","S-adenosyl-L-methionine:precorrin-3B C17-meth...",0.00109088427947598
"R05181","reaction","S-adenosyl-L-methionine:precorrin-4 C11 methy...",0.00109088427947598
"R05217","reaction","precorrin-3A,NADH:oxygen oxidoreductase (20-h...",0.00449057496360986
"R05219","reaction","Precorrin 6X + Acetate + S-Adenosyl-L-homocys...",0.000790911572052436
"R05303","reaction","Cephamycin C + S-Adenosyl-L-homocysteine <=> ...",0.00129086608442502
"R05516","reaction","dTDP-L-rhamnose <=> dTDP-L-dihydrostreptose",0.012089883551674
"R05520","reaction","S-adenosyl-L-methionine:erythromycin-C 3''-O-...",0.00109088427947598
"R05522","reaction","erythromycin-D,NADPH:oxygen oxidoreductase (1...",0.00169082969432319
"R05530","reaction","dTDP-L-mycarose:erythronolide-B 3-O-alpha-myc...",0.00169082969432319
"R05531","reaction","dTDP-D-desosamine:3-O-mycarosylerythronolide-...",0.00139085698689953
"R05532","reaction","S-adenosyl-L-methionine:erythromycin-D 3''-O-...",0.00109088427947598
"R05672","reaction","N6,N6,O-Tridemethylpuromycin-5'-phosphate + A...",0.00319069323144104
"R05673","reaction","N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phos...",0.000890902474526952
"R05674","reaction","N-Acetyl-N6,O-didemethylpuromycin-5'-phosphat...",0.00109088427947598
"R05675","reaction","N-Acetyl-O-demethylpuromycin-5'-phosphate <=>...",0.00109088427947598
"R05676","reaction","N-Acetyl-O-demethylpuromycin + S-Adenosyl-L-m...",0.00109088427947598
"R05677","reaction","N-Acetylpuromycin + H2O <=> Puromycin + Aceta...",0.00449057496360986
"R05732","reaction","(S)-N-methylcoclaurine,[reduced NADPH---hemop...",0.000990893377001467
"R05757","reaction","S-adenosyl-L-methionine:3'-demethylstaurospor...",0.00109088427947598
"R05759","reaction","S-adenosyl-L-methionine:jasmonate O-methyltra...",0.00279072962154298
"R05776","reaction","S-adenosyl-L-methionine:24-methylenelophenol ...",0.0035906568413391
"R05807","reaction","sirohydrochlorin cobalt-lyase",0.00139085698689953
"R05808","reaction","S-adenosyl-L-methionine:cobalt-factor-II C20-...",0.00129086608442502
"R05810","reaction","cobalt-precorrin-4 methyltransferase",0.00149084788937405
"R05812","reaction","cobalt-precorrin-6B:NAD+ oxidoreductase",0.00639040211062588
"R05814","reaction","precorrin-8 11,12-methylmutase",0.00839022016011642
"R05853","reaction","Stemmadenine <=> Tabersonine",0.00909015647743814
"R05855","reaction","tabersonine,[reduced NADPH---hemoprotein redu...",0.00279072962154298
"R05885","reaction","S-adenosyl-L-methionine:16-hydroxytabersonine...",0.000990893377001467
"R06254","reaction","2 I-Urobilinogen + Oxygen <=> 2 Urobilin + 2 ...",0.01398971069869
"R06255","reaction","2 L-Urobilinogen + Oxygen <=> 2 L-Urobilin + ...",0.00609042940320233
"R06287","reaction","Divinyl chlorophyllide a <=> Divinylchlorophy...",0.0131897834788937
"R06427","reaction","S-adenosyl-L-methionine:dTDP-3-amino-3,4,6-tr...",0.00149084788937405
"R06433","reaction","dTDP-4-oxo-2,6-dideoxy-D-allose 5-epimerase",0.00309070232896652
"R06434","reaction","dTDP-4-oxo-2,6-dideoxy-L-mannose + NADPH + H+...",0.0132897743813683
"R06439","reaction","S-adenosyl-L-methionine:dTDP-3-amino-3,6-dide...",0.00159083879184856
"R06450","reaction","dTDP-alpha-D-mycaminose:tylactone 5-O-beta-D-...",0.00129086608442502
"R06451","reaction","dTDP-6-deoxy-alpha-D-allose:5-O-beta-D-mycami...",0.00219078420669577
"R06452","reaction","dTDP-L-mycarose:demethyllactenocin 4'-O-alpha...",0.00149084788937405
"R06455","reaction","Oleandolide + dTDP-L-olivose <=> L-Olivosyl-o...",0.00159083879184856
"R06456","reaction","S-adenosyl-L-methionine:L-olivosyl-oleandolid...",0.00109088427947598
"R06457","reaction","L-Oleandrosyl-oleandolide + dTDP-D-desosamine...",0.00149084788937405
